Ensemble,Folds,Avg_Train_AUC,Avg_Train_F1,Avg_Val_AUC,Avg_Val_MCC,Avg_Val_Kappa,Avg_Val_F1_Binary,Avg_Val_F1_Macro,Avg_Val_Accuracy,Avg_Val_BalancedAccuracy,Avg_Val_Sensitivity,Avg_Val_Specificity,Avg_Val_PPV,Avg_Val_NPV,Avg_Per_Class_Precision,Avg_Per_Class_Recall,Avg_Per_Class_F1,Avg_Per_Class_Accuracy
Logistic Regression + Gradient Boosting + Gradient Boosting,2,0.9077377251961078,0.796756250466503,0.7699834935233091,0.30842657524629,0.29585552559413486,0.45521428571428574,0.6430219942198234,0.7420358725739612,0.6333809534646989,0.3817450824029771,0.8850168245264207,0.5745481927710843,0.7836415803330534,"0.784, 0.575","0.885, 0.382","0.831, 0.455","0.885, 0.382"
Random Forest + KNN + SVM,2,0.903628237452681,0.7398653860999282,0.731685266060758,0.2132046445751804,0.17745436040578727,0.30434782608695654,0.5675719211463902,0.728016981605039,0.5723871229767193,0.21236487683856103,0.9324093691148776,0.5690938511326861,0.7496820064942336,"0.750, 0.569","0.932, 0.212","0.831, 0.304","0.932, 0.212"
Gradient Boosting + KNN + SVM,2,0.9031417717901061,0.6983819337356469,0.7390849049176333,0.2239784824418238,0.1808941899480206,0.29917432089114715,0.5669578404409557,0.7326863896489011,0.5727025849175846,0.20279549884813042,0.9426096709870389,0.6001552795031055,0.7494159837635823,"0.749, 0.600","0.943, 0.203","0.835, 0.299","0.943, 0.203"
KNN + Random Forest + KNN,2,0.902293325640821,0.7254944977635593,0.7159077877358434,0.16754181310530641,0.13862818700358398,0.26547192353643967,0.5451209269025455,0.7173288105943029,0.5565099513615807,0.18435451001240477,0.9286653927107567,0.5110927759442612,0.7423799785762976,"0.742, 0.511","0.929, 0.184","0.825, 0.265","0.929, 0.184"
Random Forest + KNN + Logistic Regression,2,0.9012312437895521,0.7375042061184189,0.7498146402076972,0.26684859654193327,0.2555948922335239,0.42190399354578456,0.622252413596526,0.728686325647877,0.6148176505394325,0.3511873117136275,0.8784479893652376,0.5372670807453416,0.7740574969874333,"0.774, 0.537","0.878, 0.351","0.823, 0.422","0.878, 0.351"
KNN + Gradient Boosting + KNN,2,0.9011972550517795,0.6940733523073261,0.716425945185345,0.18569035681070634,0.1543795208055183,0.27750723240115716,0.5531256411497822,0.7233049062118327,0.5628058052384579,0.19145401382243488,0.9341575966544811,0.5334821428571428,0.7451689145283895,"0.745, 0.533","0.934, 0.191","0.829, 0.278","0.934, 0.191"
Gradient Boosting + KNN + Logistic Regression,2,0.9007447781269773,0.6960207537541376,0.7549581062790521,0.2552919148819554,0.24348130108745758,0.40973665973665974,0.6156146971373216,0.726019616313861,0.6086372643764613,0.3369883040935673,0.8802862246593552,0.5304383788254756,0.7705844879757924,"0.771, 0.530","0.880, 0.337","0.821, 0.410","0.880, 0.337"
SVM + Random Forest + Random Forest,2,0.9000939538475627,0.832809891633421,0.7685062024040702,0.21870301369206502,0.16616126625848787,0.2658975265979157,0.5521679874928695,0.7353050982149048,0.5654362628157525,0.17254784688995217,0.9583246787415531,0.6279695913842256,0.7455851786043549,"0.746, 0.628","0.958, 0.173","0.838, 0.266","0.958, 0.173"
SVM + Random Forest + Gradient Boosting,2,0.8996976069783902,0.8168875397032624,0.7782444432435067,0.2653687706860566,0.21970033587552312,0.33503955328059565,0.5881856468474524,0.7439799036784589,0.5893156811794812,0.23142610313662942,0.947205259222333,0.64312567132116,0.7572353136408895,"0.757, 0.643","0.947, 0.231","0.841, 0.335","0.947, 0.231"
SVM + Gradient Boosting + Random Forest,2,0.8989978832585213,0.8013887461771878,0.7667760005862657,0.19622732782238392,0.14982349705706421,0.2540728882192297,0.5443161550294967,0.7293183357600388,0.5590678911895361,0.16537081339712917,0.9527649689819431,0.5895945140131187,0.7428040824915825,"0.743, 0.590","0.953, 0.165","0.835, 0.254","0.953, 0.165"
SVM + Gradient Boosting + Gradient Boosting,2,0.8986015363893487,0.7854663942470292,0.7720108212954419,0.23964770846254985,0.19687174011895603,0.3141828201285832,0.5758199651538837,0.7373237971807549,0.5795800618700341,0.2147572213361687,0.9444029024038995,0.6125324434556916,0.7526454677398073,"0.753, 0.613","0.944, 0.215","0.837, 0.314","0.944, 0.215"
KNN + Random Forest + SVM,2,0.8959265446006641,0.7324357542592137,0.7354527112393499,0.19340655232919368,0.15051563643786953,0.2606357537133033,0.5463558753605947,0.7266622932633588,0.5602261254072268,0.17501772107035266,0.945434529744101,0.5779427359490986,0.7436539195055993,"0.744, 0.578","0.945, 0.175","0.832, 0.261","0.945, 0.175"
KNN + Gradient Boosting + SVM,2,0.8948304740116226,0.7010146088029806,0.7364046832075495,0.23037230032642586,0.18857168670479013,0.30610021786492375,0.5709504357298475,0.7346570878467389,0.5763961452188711,0.21020512138933192,0.9425871690484102,0.6024245895379916,0.7512681255059304,"0.751, 0.602","0.943, 0.210","0.836, 0.306","0.943, 0.210"
KNN + Random Forest + Logistic Regression,2,0.8935295509375354,0.7300745742777043,0.7526766058912675,0.28917080806866524,0.27393186846629936,0.4297500442884741,0.6300042536678367,0.738667818685099,0.6219561000124736,0.35149743044479886,0.8924147695801485,0.5680527623328995,0.7770483193277311,"0.777, 0.568","0.892, 0.351","0.830, 0.430","0.892, 0.351"
KNN + Gradient Boosting + Logistic Regression,2,0.8924334803484939,0.698653428821471,0.7517071548070655,0.26480905996371984,0.2493373708055946,0.4074523994141466,0.6167306652969903,0.731337034725889,0.6104652563331625,0.3303539783802942,0.8905765342860308,0.5488310708898945,0.7710918935764092,"0.771, 0.549","0.891, 0.330","0.826, 0.407","0.891, 0.330"
KNN + KNN + Random Forest,2,0.8888328242705413,0.6902253307654458,0.7226294959927942,0.2239113870933186,0.19064355826383045,0.3187621110224553,0.575667520993471,0.7313210344698848,0.5782341996913742,0.22417153996101363,0.9322968594217348,0.5707846904093394,0.7524900757849152,"0.752, 0.571","0.932, 0.224","0.833, 0.319","0.932, 0.224"
KNN + KNN + Gradient Boosting,2,0.8884364774013689,0.6743029788352872,0.7355197118589689,0.23637854170712408,0.20571475269681289,0.3387661593847161,0.5858408856392876,0.7333237331797309,0.5852782064492328,0.2429226475279107,0.927633765370555,0.5735849056603773,0.7560754305586221,"0.756, 0.574","0.928, 0.243","0.833, 0.339","0.928, 0.243"
Random Forest + Logistic Regression + KNN,2,0.8859682410956888,0.7396237488876617,0.7449732296651699,0.27437077298096413,0.2629722128793381,0.4272343191420215,0.6261386718542215,0.7320223790247311,0.6176857477474541,0.3532695374800638,0.8821019580148444,0.545224541429475,0.7752635098983414,"0.775, 0.545","0.882, 0.353","0.825, 0.427","0.882, 0.353"
Gradient Boosting + Logistic Regression + KNN,2,0.8854817754331141,0.6981402965233803,0.7476421987188846,0.261263692347756,0.25035919949779334,0.41536065654817816,0.6193211265002532,0.7286436582985327,0.611881220705242,0.34177299308878256,0.8819894483217016,0.5333933540677689,0.7721917982679571,"0.772, 0.533","0.882, 0.342","0.823, 0.415","0.882, 0.342"
Random Forest + Logistic Regression + SVM,2,0.8796014600555322,0.7465650053833162,0.7676598799502019,0.3266130877634881,0.3139069791047431,0.4685421994884911,0.6522304860615707,0.7493506562771671,0.6412550087311166,0.39108187134502925,0.891428146117204,0.5912456887806857,0.7873937340229475,"0.787, 0.591","0.891, 0.391","0.836, 0.469","0.891, 0.391"
Gradient Boosting + Logistic Regression + SVM,2,0.8791149943929575,0.7050815530190347,0.7701753132022995,0.3214674479161801,0.30592724052090187,0.456901361535579,0.6469108824581973,0.749334656021163,0.6364150725212278,0.37487816764132553,0.89795197740113,0.5962105740866803,0.7843066541963233,"0.784, 0.596","0.898, 0.375","0.837, 0.457","0.898, 0.375"
Random Forest + Naive Bayes + Random Forest,2,0.8790499616973503,0.830706587535869,0.7337532449550652,0.3015373448967615,0.2768127666811359,0.5339921967020024,0.6238623200169726,0.6453703259252148,0.6670692459768488,0.7173378522062732,0.6168006397474244,0.42531512605042016,0.8468111346018323,"0.847, 0.425","0.617, 0.717","0.714, 0.534","0.617, 0.717"
